date,close,turnover_rate_f,pct_chg
2009-10-20,3377.574,2.58,1.4543
2009-10-21,3369.285,2.4,-0.2454
2009-10-22,3347.32,1.75,-0.6519
2009-10-23,3413.252,2.49,1.9697
2009-10-26,3414.239,1.96,0.0289
2009-10-27,3314.722,2.13,-2.9148
2009-10-28,3329.327,1.79,0.4406
2009-10-29,3247.051,1.75,-2.4713
2009-10-30,3280.372,1.73,1.0262
2009-11-02,3392.803,2.32,3.4274
2009-11-03,3435.425,2.37,1.2562
2009-11-04,3453.888,2.43,0.5374
2009-11-05,3464.318,2.28,0.302
2009-11-06,3483.021,2.61,0.5399
2009-11-09,3495.788,2.21,0.3665
2009-11-10,3503.776,2.38,0.2285
2009-11-11,3495.674,2.05,-0.2312
2009-11-12,3499.992,2.26,0.1235
2009-11-13,3518.722,2.58,0.5351
2009-11-16,3625.798,3.48,3.043
2009-11-17,3628.354,2.75,0.0705
2009-11-18,3630.229,2.52,0.0517
2009-11-19,3642.437,2.69,0.3363
2009-11-20,3631.013,2.68,-0.3136
2009-11-23,3665.509,2.66,0.95
2009-11-24,3548.08,4.17,-3.2036
2009-11-25,3629.629,3.24,2.2984
2009-11-26,3485.773,3.62,-3.9634
2009-11-27,3382.51,2.53,-2.9624
2009-11-30,3511.669,2.39,3.8184
2009-12-01,3560.831,2.87,1.4
2009-12-02,3597.329,2.77,1.025
2009-12-03,3590.876,2.55,-0.1794
2009-12-04,3643.491,3.79,1.4652
2009-12-07,3668.832,2.58,0.6955
2009-12-08,3624.019,2.35,-1.2215
2009-12-09,3554.478,1.94,-1.9189
2009-12-10,3577.237,1.63,0.6403
2009-12-11,3575.02,1.54,-0.062
2009-12-14,3612.753,2.37,1.0555
2009-12-15,3583.341,1.96,-0.8141
2009-12-16,3560.723,1.61,-0.6312
2009-12-17,3480.153,1.79,-2.2627
2009-12-18,3391.735,1.87,-2.5406
2009-12-21,3396.622,1.37,0.1441
2009-12-22,3305.543,1.53,-2.6815
2009-12-23,3336.48,1.36,0.9359
2009-12-24,3438.817,1.82,3.0672
2009-12-25,3424.783,1.33,-0.4081
2009-12-28,3478.433,1.57,1.5665
2009-12-29,3500.737,1.58,0.6412
2009-12-30,3558.857,2.52,1.6602
2009-12-31,3575.684,1.97,0.4728
2010-01-04,3535.229,1.82,-1.1314
2010-01-05,3564.038,2.36,0.8149
2010-01-06,3541.727,2.16,-0.626
2010-01-07,3471.456,2.21,-1.9841
2010-01-08,3480.13,1.67,0.2499
2010-01-11,3482.052,2.48,0.0552
2010-01-12,3534.916,2.58,1.5182
2010-01-13,3421.144,3.09,-3.2185
2010-01-14,3469.051,2.29,1.4003
2010-01-15,3482.738,2.0,0.3945
2010-01-18,3500.684,2.28,0.5153
2010-01-19,3507.482,2.06,0.1942
2010-01-20,3394.434,2.54,-3.2231
2010-01-21,3408.574,1.94,0.4166
2010-01-22,3366.197,2.45,-1.2432
2010-01-25,3328.014,1.43,-1.1343
2010-01-26,3242.797,1.69,-2.4925
2010-01-27,3198.566,1.44,-1.364
2010-01-28,3206.57,1.29,0.2502
2010-01-29,3204.155,1.38,-0.0753
2010-02-01,3152.707,1.56,-1.6057
2010-02-02,3146.189,1.37,-0.2067
2010-02-03,3230.715,1.77,2.6866
2010-02-04,3218.802,1.61,-0.3687
2010-02-05,3153.087,1.62,-2.0416
2010-02-08,3150.988,1.02,-0.0666
2010-02-09,3169.19,0.98,0.5777
2010-02-10,3214.13,0.94,1.418
2010-02-11,3220.398,0.98,0.195
2010-02-12,3251.278,0.93,0.9589
2010-02-22,3233.345,1.04,-0.5516
2010-02-23,3198.634,1.17,-1.0735
2010-02-24,3244.483,1.36,1.4334
2010-02-25,3292.128,1.84,1.4685
2010-02-26,3281.666,1.42,-0.3178
2010-03-01,3324.423,1.65,1.3029
2010-03-02,3311.236,1.56,-0.3967
2010-03-03,3335.081,1.65,0.7201
2010-03-04,3250.573,1.89,-2.5339
2010-03-05,3259.764,1.25,0.2828
2010-03-08,3286.178,1.13,0.8103
2010-03-09,3305.863,1.48,0.599
2010-03-10,3279.694,1.26,-0.7916
2010-03-11,3276.705,1.29,-0.0911
2010-03-12,3233.126,1.09,-1.33
2010-03-15,3183.183,1.03,-1.5447
2010-03-16,3203.971,0.84,0.6531
2010-03-17,3273.916,1.24,2.1831
2010-03-18,3267.555,1.28,-0.1943
2010-03-19,3293.871,1.24,0.8054
2010-03-22,3302.628,1.34,0.2659
2010-03-23,3275.573,1.26,-0.8192
2010-03-24,3276.669,1.2,0.0335
2010-03-25,3229.128,1.21,-1.4509
2010-03-26,3275.002,1.28,1.4206
2010-03-29,3358.54,2.29,2.5508
2010-03-30,3366.708,1.52,0.2432
2010-03-31,3345.607,1.43,-0.6268
2010-04-01,3391.935,1.83,1.3847
2010-04-02,3407.346,1.86,0.4543
2010-04-06,3405.145,1.76,-0.0646
2010-04-07,3386.949,1.45,-0.5344
2010-04-08,3346.744,1.67,-1.1871
2010-04-09,3379.17,1.38,0.9689
2010-04-12,3351.478,2.0,-0.8195
2010-04-13,3391.716,2.15,1.2006
2010-04-14,3403.707,1.62,0.3535
2010-04-15,3394.574,1.64,-0.2683
2010-04-16,3356.332,1.26,-1.1266
2010-04-19,3176.423,2.36,-5.3603
2010-04-20,3173.374,1.71,-0.096
2010-04-21,3236.679,1.79,1.9949
2010-04-22,3201.541,1.9,-1.0856
2010-04-23,3190.003,1.64,-0.3604
2010-04-26,3171.997,1.36,-0.5645
2010-04-27,3108.409,1.74,-2.0047
2010-04-28,3097.353,1.22,-0.3557
2010-04-29,3060.064,1.28,-1.2039
2010-04-30,3067.365,1.45,0.2386
2010-05-04,3019.449,1.1,-1.5621
2010-05-05,3036.394,1.57,0.5612
2010-05-06,2896.856,1.54,-4.5955
2010-05-07,2836.789,1.6,-2.0735
2010-05-10,2858.233,1.32,0.7559
2010-05-11,2800.817,1.53,-2.0088
2010-05-12,2818.16,1.39,0.6192
2010-05-13,2886.911,1.44,2.4396
2010-05-14,2868.023,1.11,-0.6543
2010-05-17,2714.715,1.36,-5.3454
2010-05-18,2771.348,1.42,2.0861
2010-05-19,2762.174,1.19,-0.331
2010-05-20,2726.022,1.1,-1.3088
2010-05-21,2768.791,1.42,1.5689
2010-05-24,2873.469,1.95,3.7806
2010-05-25,2813.943,1.44,-2.0716
2010-05-26,2813.944,1.04,0.0
2010-05-27,2859.979,1.39,1.636
2010-05-28,2850.302,1.34,-0.3384
2010-05-31,2773.264,1.2,-2.7028
2010-06-01,2744.162,1.17,-1.0494
2010-06-02,2757.527,1.03,0.487
2010-06-03,2736.076,1.03,-0.7779
2010-06-04,2744.391,0.85,0.3039
2010-06-07,2695.715,1.03,-1.7737
2010-06-08,2699.336,0.91,0.1343
2010-06-09,2782.133,1.56,3.0673
2010-06-10,2750.023,1.11,-1.1542
2010-06-11,2758.866,1.04,0.3216
2010-06-17,2742.733,0.84,-0.5848
2010-06-18,2696.166,1.07,-1.6978
2010-06-21,2780.663,1.42,3.134
2010-06-22,2783.72,1.0,0.1099
2010-06-23,2758.495,0.91,-0.9062
2010-06-24,2757.498,0.75,-0.0361
2010-06-25,2736.287,0.78,-0.7692
2010-06-28,2716.777,0.7,-0.713
2010-06-29,2592.019,1.24,-4.5921
2010-06-30,2563.07,0.9,-1.1169
2010-07-01,2526.071,0.81,-1.4435
2010-07-02,2534.105,1.11,0.318
2010-07-05,2512.651,0.79,-0.8466
